,Accept_Rate,Accept_Rate,Accept_Rate,Accept_Cost,Accept_Cost,Accept_Cost
Quota (N),55,100,145,55,100,145
Group,,,,,,
1. Ideal (Upper Bound),1.0,1.0,1.0,0.0,0.0,2.206896551724138
2.1 XGBoost (All),0.9454545454545454,0.94,0.9241379310344827,21.057692307692307,23.670212765957448,25.41044776119403
2.2 XGBoost (Demos),0.9636363636363636,0.94,0.9172413793103448,19.150943396226417,21.22340425531915,25.37593984962406
3.1 Ordered Logit (All),0.9454545454545454,0.91,0.9172413793103448,29.71153846153846,26.53846153846154,32.255639097744364
3.2 Ordered Logit (Demos),0.9454545454545454,0.94,0.9103448275862069,27.596153846153847,28.404255319148938,31.401515151515152
4. Random (1000x Mean),0.8818181818181818,0.865,0.8724137931034482,35.9406887755102,33.22961229946524,32.22921875
